date,close,vwap,volume_tons,turnover_cny,cum_turnover_cny,is_open,is_quiet,has_trade,Guangdong_GDP_Cumulative_ffill_daily_15,Guangdong_ElectricityConsumption_Monthly_ffill_daily_15,Guangdong_IndustrialAddedValue_RealPrices_AboveScaleIndustry_YoY_ffill_daily_15,China_Output_CrudeOilProcessing_Monthly_ffill_daily_15,SpotPrice_ThermalCoal_ARA_Europe_ffill_daily_1,Hubei_ElectricityConsumption_Monthly_ffill_daily_15,FuturesSettle(Cont)_BrentCrude_ffill_daily_1,Hubei_IndustrialAddedValue_RealPrices_AboveScaleIndustry_YoY_ffill_daily_15,FuturesClose(Cont)_NYMEX_NatGas_ffill_daily_1,China_Output_CrudeSteel_Monthly_ffill_daily_15,SpotPrice_ThermalCoal_欧洲ARA港_ffill_daily_1,China_ElectricityGeneration_ThermalPower_Monthly_ffill_daily_15,China_TotalSocialFinancing_Monthly_ffill_daily_15,FuturesSettle(Cont)_EUA_Futures_ffill_daily_1,China_CPI_YoY_ffill_daily_15,China_TotalElectricityConsumption_Monthly_ffill_daily_15,China_Output_RawCoal_Monthly_ffill_daily_15,Hubei_GDP_Cumulative_ffill_daily_15,China_GDP_CurrentPrices_Cumulative_ffill_daily_15,China_ManufacturingPMI_ffill_daily_15,China_Output_水泥_Monthly_ffill_daily_15,CFETS_SpotFX_USD_CNY_ffill_daily_1
2015-04-09,27.63,27.63,50.0,1381.5,66441433.53,True,False,True,67809.85,2401358.0,8.0,39700000.0,59.12,1126066.0,55.55,10.3,2.623,6172.0,59.12,2914.29,13609.0,7.12,1.4311,35950000.0,24000.0,27379.22,655782.9,49.9,9616.5,6.2032
2015-04-10,24.87,24.87,5926.0,147379.62,66588813.15,True,False,True,67809.85,2401358.0,8.0,39700000.0,59.2,1126066.0,56.57,10.3,2.538,6172.0,59.2,2914.29,13609.0,7.01,1.4311,35950000.0,24000.0,27379.22,655782.9,49.9,9616.5,6.206
2015-04-11,24.87,24.87,0.0,0.0,66588813.15,False,False,False,67809.85,2401358.0,8.0,39700000.0,59.47,1126066.0,57.87,10.3,2.509,6172.0,59.47,2914.29,13609.0,6.94,1.4311,35950000.0,24000.0,27379.22,655782.9,49.9,9616.5,6.208
2015-04-12,24.87,24.87,0.0,0.0,66588813.15,False,False,False,67809.85,2401358.0,8.0,39700000.0,59.47,1126066.0,57.87,10.3,2.509,6172.0,59.47,2914.29,13609.0,6.94,1.4311,35950000.0,24000.0,27379.22,655782.9,49.9,9616.5,6.208
2015-04-13,22.38,22.38,5000.0,111900.0,66700713.15,True,False,True,67809.85,2401358.0,8.0,39700000.0,59.47,1126066.0,57.87,10.3,2.509,6172.0,59.47,2914.29,13609.0,6.94,1.4311,35950000.0,24000.0,27379.22,655782.9,49.9,9616.5,6.208
2015-04-14,20.14,20.14,15328.0,308780.6,67009493.75,True,False,True,67809.85,2401358.0,8.0,39700000.0,60.04,1126066.0,57.93,10.3,2.511,6172.0,60.04,2914.29,13609.0,6.8,1.4311,35950000.0,24000.0,27379.22,655782.9,49.9,9616.5,6.2167
2015-04-15,19.06,18.25,3898.0,71145.44,67080639.19,True,False,True,14948.57,3937713.0,5.4,44700000.0,60.73,1297418.0,58.43,7.0,2.528,6948.3,60.73,3497.0,12433.0,6.8,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2118
2015-04-16,20.97,17.15,100451.0,1722772.85,68803412.04,True,False,True,14948.57,3937713.0,5.4,44700000.0,60.63,1297418.0,60.32,7.0,2.594,6948.3,60.63,3497.0,12433.0,6.85,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2052
2015-04-17,20.21,18.92,1022.0,19337.4,68822749.44,True,False,True,14948.57,3937713.0,5.4,44700000.0,60.78,1297418.0,63.98,7.0,2.677,6948.3,60.78,3497.0,12433.0,6.87,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.1967
2015-04-18,20.21,18.92,0.0,0.0,68822749.44,False,False,False,14948.57,3937713.0,5.4,44700000.0,61.05,1297418.0,63.45,7.0,2.641,6948.3,61.05,3497.0,12433.0,6.84,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.1978
2015-04-19,20.21,18.92,0.0,0.0,68822749.44,False,False,False,14948.57,3937713.0,5.4,44700000.0,61.05,1297418.0,63.45,7.0,2.641,6948.3,61.05,3497.0,12433.0,6.84,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.1978
2015-04-20,18.19,18.19,5.0,90.95,68822840.39,True,False,True,14948.57,3937713.0,5.4,44700000.0,61.05,1297418.0,63.45,7.0,2.641,6948.3,61.05,3497.0,12433.0,6.84,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.1978
2015-04-21,19.82,16.38,4276.0,70043.51,68892883.9,True,False,True,14948.57,3937713.0,5.4,44700000.0,61.22,1297418.0,63.45,7.0,2.553,6948.3,61.22,3497.0,12433.0,7.13,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2015
2015-04-22,21.8,17.89,26690.0,477515.66,69370399.56,True,False,True,14948.57,3937713.0,5.4,44700000.0,60.5,1297418.0,62.08,7.0,2.576,6948.3,60.5,3497.0,12433.0,7.08,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.2016
2015-04-23,21.65,20.06,1171.0,23485.14,69393884.7,True,False,True,14948.57,3937713.0,5.4,44700000.0,60.15,1297418.0,62.73,7.0,2.595,6948.3,60.15,3497.0,12433.0,7.09,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.195
2015-04-24,23.82,21.79,1529.0,33319.85,69427204.55,True,False,True,14948.57,3937713.0,5.4,44700000.0,59.93,1297418.0,64.85,7.0,2.544,6948.3,59.93,3497.0,12433.0,7.25,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.198
2015-04-25,23.82,21.79,0.0,0.0,69427204.55,False,False,False,14948.57,3937713.0,5.4,44700000.0,60.1,1297418.0,65.28,7.0,2.533,6948.3,60.1,3497.0,12433.0,7.28,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.195
2015-04-26,23.82,21.79,0.0,0.0,69427204.55,False,False,False,14948.57,3937713.0,5.4,44700000.0,60.1,1297418.0,65.28,7.0,2.533,6948.3,60.1,3497.0,12433.0,7.28,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.195
2015-04-27,23.65,23.65,28.0,662.2,69427866.75,True,False,True,14948.57,3937713.0,5.4,44700000.0,60.1,1297418.0,65.28,7.0,2.533,6948.3,60.1,3497.0,12433.0,7.28,1.3758,44477544.61,30559.2,5487.93,154171.4,50.1,16138.5,6.195
